Sector,Feb to Mar 20,Mar to Apr 20,Apr to May 20,May to Jun 20,Jun to Jul 20,Jul to Aug 20,Aug to Sep 20,Sep to Oct 20,Nov to Dec 20,Dec 20 to Jan 21,Jan to Feb 21
Motor vehicle & parts dealers,-25.7,-12.3,48.7,9.1,-1.2,0.2,3.6,0.4,2,3.1,-4.2
Furniture & home furniture stores,-21.1,-48.8,79.1,37.4,0,2.1,0.5,-0.4,-0.7,12,-3.8
Electronics & appliance stores,-11,-43.2,36.5,37.6,22.9,0.8,-1.6,1.2,-6.5,14.7,-1.9
Building material & garden equipment & supplies dealers,-0.5,-2.4,12.2,0.8,-2.9,2,0.6,0.9,-0.1,4.6,-3
Food & beverage stores,26.9,-12.8,2.2,-1.5,0.2,-1.2,0,-0.2,-1.4,2.4,0
Health & personal care stores,5,-14.8,1.5,6.9,3.6,0.8,1.7,-0.1,1,1.3,-1.3
Gasoline stations,-16.5,-24.4,11.9,14.8,6.2,0.4,1.5,0.4,6.5,4,3.6
Clothing & clothing accessories stores,-49.4,-75.2,176.7,98.8,5.7,2.9,11,-4.2,2.6,5,-2.8
"Sporting goods, hobby, musical instrument, & book stores",-17.8,-33.7,78,27.6,-5,-5.7,5.7,-4.2,-1.4,8,-7.5
General merchandise stores,7.1,-13.6,5.9,2.1,-0.2,-0.4,1.8,-1.1,-1.8,5.5,-5.4
Miscellaneous store retailers,-14.1,-25.9,16.4,21.7,6.2,-0.2,1.1,-0.9,5.5,1.8,-3.4
Nonstore retailers,4.9,9.5,7.2,-2.1,0.7,0,0.5,3.1,-7.3,11,-5.4
Food services & drinking places,-,-,-,-,-,-,-,-,-4.6,6.9,-2.5
Total retail,-8.3,-14.7,18.2,8.4,1.2,0.6,1.9,0.3,-1,5.3,-3
